Altium Designer Pick and Place Locations
E:\@@@@Darial\@@@Venkat\VisionSOM\som\Output Files\Pick Place\Pick Place for TINYMODULE-V3.txt

========================================================================================================================
File Design Information:

Date:       30/09/20
Time:       13:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                       Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                        
R4         10k                           TopLayer    RESC100X50X40L25N          147.830       528.023       0        "RES 10K OHM 1/16W 5% 0402"        
D2         UHD1110-FKA-CL1A13R3Q1BBQFMF3 TopLayer    UHD1110-FKA                255.904       597.236       360      "HB, SMD, RGB"                     
FD6        FCM                           BottomLayer FID100X200N                90.554        47.248        90       "Fiducial marker"                  
FD4        FCM                           BottomLayer FID100X200N                747.000       899.000       90       "Fiducial marker"                  
RN2        10K                           TopLayer    RESCAXS50P100X200X45-8NA   135.829       53.153        270      "RES ARRAY 4 RES 10K OHM 0804"     
C16        0.1uF                         TopLayer    CAPC100X50X60L25N          66.924        462.603       90       "CAP CER 0.1UF 10V X5R 0402"       
RN1        10K                           TopLayer    RESCAXS50P100X200X45-8NA   147.639       462.603       90       "RES ARRAY 4 RES 10K OHM 0804"     
TP1        "TEST POINT"                  BottomLayer TP-R20                     529.000       808.000       90       ""                                 
TP3        "TEST POINT"                  BottomLayer TP-R20                     667.317       47.248        90       ""                                 
TP5        "TEST POINT"                  BottomLayer TP-R20                     763.774       47.248        90       ""                                 
TP6        "TEST POINT"                  BottomLayer TP-R20                     570.861       47.248        90       ""                                 
TP4        "TEST POINT"                  BottomLayer TP-R20                     281.491       47.248        90       ""                                 
TP2        "TEST POINT"                  BottomLayer TP-R20                     474.404       47.248        90       ""                                 
TP8        "TEST POINT"                  BottomLayer TP-R20                     185.034       47.248        90       ""                                 
TP7        "TEST POINT"                  BottomLayer TP-R20                     377.948       47.248        90       ""                                 
FD5        FCM                           BottomLayer FID100X200N                86.000        889.000       90       "Fiducial marker"                  
FD2        FCM                           TopLayer    FID100X200N                778.424       1161.417      90       "Fiducial marker"                  
FD1        FCM                           TopLayer    FID100X200N                47.244        1161.417      90       "Fiducial marker"                  
FD3        FCM                           TopLayer    FID100X200N                237.000       43.000        0        "Fiducial marker"                  
P2         DF23C-30DS-0.5V(51)           BottomLayer DF23C-30DS-0.5V            419.292       275.591       90       "Header, 15-Pin, Dual row"         
R2         20                            TopLayer    RESC1608X55N               159.450       816.930       360      "RES 20 OHM 5% 1/16W 0402"         
RIGHT1     CONN_GENERIC_15               TopLayer    CONN_GENERIC_1.27mm_15cont 838.583       438.190       270      ""                                 
LEFT1      CONN_GENERIC_15               TopLayer    CONN_GENERIC_1.27mm_15cont 0.000         438.190       270      ""                                 
R6         10k                           TopLayer    RESC100X50X40L25N          573.000       639.000       90       "RES 10K OHM 1/16W 5% 0402"        
R9         10k                           TopLayer    RESC100X50X40L25N          674.289       410.198       360      "RES 10K OHM 1/16W 5% 0402"        
P1         503772-2420                   TopLayer    503772-2410                433.072       1057.087      180      "CONN RCPT 24POS SMD GOLD"         
R3         DNI                           TopLayer    RESC100X50X40L25N          66.924        647.643       270      "RES 10K OHM 1/16W 5% 0402"        
C20        0.1uF                         TopLayer    CAPC100X50X60L25N          598.419       454.058       360      "CAP CER 0.1UF 10V X5R 0402"       
C12        0.1uF                         BottomLayer CAPC100X50X60L25N          542.000       695.000       270      "CAP CER 0.1UF 10V X5R 0402"       
C2         4.7uF                         TopLayer    CAPC100X50X60L25N          647.634       893.703       90       "CAP CER 4.7UF 6.3V X5R 0402"      
C4         4.7uF                         TopLayer    CAPC100X50X60L25N          178.424       899.063       90       "CAP CER 4.7UF 6.3V X5R 0402"      
C1         4.7uF                         TopLayer    CAPC100X50X60L25N          775.584       893.703       90       "CAP CER 4.7UF 6.3V X5R 0402"      
U2         TCR2LE12ESV                   TopLayer    SOT-553                    114.449       886.733       90       ""                                 
