Altium Designer Pick and Place Locations
E:\@@@@Darial\@@@Venkat\VisionSOM\som_devkit\CAD\Output Files\Pick Place\Pick Place for DevKit - PCB.txt

========================================================================================================================
File Design Information:

Date:       09/10/20
Time:       16:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                          
SW2        "PTS820 J25K SMTR LFS"     TopLayer    PTS820J25MSMTRLFS         1659.000      479.252       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                   
R26        27                         TopLayer    RESC1005X40N              3800.780      1681.102      90       "RES 27 OHM 5% 1/16W 0402"                           
R25        27                         TopLayer    RESC1005X40N              3700.000      1681.102      90       "RES 27 OHM 5% 1/16W 0402"                           
R20        27                         TopLayer    RESC1005X40N              3600.000      1681.102      90       "RES 27 OHM 5% 1/16W 0402"                           
R10        27                         TopLayer    RESC1005X40N              3500.000      1681.102      90       "RES 27 OHM 5% 1/16W 0402"                           
U5         24AA01T-I_OT               TopLayer    SOT23-5                   2557.992      920.000       0        "IC EEPROM 1K I2C 400KHZ SOT23-5"                    
U6         Raspberry_Pi_Zero_W__v1.3_ BottomLayer RPI0w1.3                  1951.378      593.622       180      "CONN HDR 40POS 0.1 TIN SMD"                         
SB3        Solderbridge               TopLayer    Solderbridge              1508.000      1100.000      180      Solderbridge                                         
R5         10K                        TopLayer    RESC1005X40N              2673.724      864.882       0        "RES 10K OHM 5% 1/16W 0402"                          
R4         0                          TopLayer    RESC1005X40N              749.000       709.055       270      "RESISTOR 0 OHM 1% 0.0625W 0402"                     
C39        0.1uF                      TopLayer    CAPC1005X60N              2657.906      917.779       90       "CAP CER 0.1UF 16V Y5V 0402"                         
U4         ESDR0502NMUTAG             TopLayer    ONSC-UDFN-6-517AA-01_V    315.000       1043.000      180      "TVS DIODE 5.5V 6UDFN"                               
C38        0.1uF                      TopLayer    CAPC1005X60N              852.362       1411.516      180      "CAP CER 0.1UF 6.3V 0402"                            
C37        4.7uF                      TopLayer    CAPC1005X60N              2689.400      1616.200      90       "CAP CER 4.7UF 6.3V 0402"                            
C31        4.7uF                      TopLayer    CAPC1005X60N              2434.836      1550.525      90       "CAP CER 4.7UF 6.3V 0402"                            
R29        10K                        TopLayer    RESC1005X40N              709.646       1598.425      180      "RES SMD 10K OHM 1% 1/16W 0402"                      
R28        10K                        TopLayer    RESC1005X40N              504.921       1500.984      90       "RES SMD 10K OHM 1% 1/16W 0402"                      
R27        10K                        TopLayer    RESC1005X40N              545.276       1500.787      90       "RES SMD 10K OHM 1% 1/16W 0402"                      
J1         ""                         TopLayer    1X04_1MM_RA               2735.236      127.655       0        "CONN HEADER SMD R/A 4POS 1MM"                       
C36        0.1uF                      TopLayer    CAPC1005X60N              423.622       868.307       360      "CAP CER 0.1UF 6.3V 0402"                            
C30        4.7uF                      TopLayer    CAPC1005X60N              2070.236      1552.543      90       4.7uF                                                
C29        0.1uF                      TopLayer    CAPC1005X60N              2646.457      393.701       90       "CAP CER 0.1UF 6.3V 0402"                            
C28        0.1uF                      TopLayer    CAPC1005X60N              2796.260      412.402       180      "CAP CER 0.1UF 6.3V 0402"                            
